Notes,County,County Code,Deaths,Population,Crude Rate,county_fips,Deaths_adjusted,Crude Rate_adjusted,label
,"Russell County, AL",01113,Suppressed,1185660,Suppressed,01113,5,4.217060540121114e-06,0
,"St. Clair County, AL",01115,Suppressed,1751394,Suppressed,01115,5,2.8548687502640756e-06,0
,"Sumter County, AL",01119,Suppressed,300557,Suppressed,01119,5,1.6635779569266395e-05,1
,"Talladega County, AL",01121,Suppressed,1784493,Suppressed,01121,5,2.8019162865867226e-06,0
,"Tallapoosa County, AL",01123,Suppressed,904413,Suppressed,01123,5,5.528447733502283e-06,0
,"Tuscaloosa County, AL",01125,Suppressed,4168834,Suppressed,01125,5,1.199376132510913e-06,0
,"Walker County, AL",01127,Suppressed,1475039,Suppressed,01127,5,3.389740881427542e-06,0
,"Washington County, AL",01129,Suppressed,380030,Suppressed,01129,5,1.3156856037681235e-05,1
,"Wilcox County, AL",01131,Suppressed,258895,Suppressed,01131,5,1.9312848838332144e-05,1
,"Winston County, AL",01133,Suppressed,534995,Suppressed,01133,5,9.345881737212498e-06,1
,"Anchorage Borough, AK",02020,Suppressed,6247630,Suppressed,02020,5,8.003034750777495e-07,0
,"Bethel Census Area, AK",02050,Suppressed,378210,Suppressed,02050,5,1.3220168689352477e-05,1
,"Dillingham Census Area, AK",02070,Suppressed,107749,Suppressed,02070,5,4.6404142961883635e-05,1
,"Fairbanks North Star Borough, AK",02090,Suppressed,2065626,Suppressed,02090,5,2.420573714699563e-06,0
,"Kenai Peninsula Borough, AK",02122,Suppressed,1203197,Suppressed,02122,5,4.155595467741359e-06,0
,"Ketchikan Gateway Borough, AK",02130,Suppressed,300346,Suppressed,02130,5,1.6647466588534558e-05,1
,"Matanuska-Susitna Borough, AK",02170,Suppressed,1892709,Suppressed,02170,5,2.6417161856365662e-06,0
,"Prince of Wales-Hyder Census Area, AK",02198,Suppressed,44299,Suppressed,02198,5,0.00011286936499695252,1
,"Sitka Borough, AK",02220,Suppressed,194308,Suppressed,02220,5,2.5732342466599418e-05,1
,"Southeast Fairbanks Census Area, AK",02240,Suppressed,146257,Suppressed,02240,5,3.4186397915997184e-05,1
,"Wade Hampton Census Area, AK",02270,Suppressed,167712,Suppressed,02270,5,2.981301278381988e-05,1
,"Graham County, AZ",04009,Suppressed,791113,Suppressed,04009,5,6.320209628712965e-06,0
,"Santa Cruz County, AZ",04023,Suppressed,977728,Suppressed,04023,5,5.113896707468744e-06,0
,"Arkansas County, AR",05001,Suppressed,421615,Suppressed,05001,5,1.1859160608612123e-05,1
,"Ashley County, AR",05003,Suppressed,482187,Suppressed,05003,5,1.0369420992270633e-05,1
,"Baxter County, AR",05005,Suppressed,891988,Suppressed,05005,5,5.605456575649e-06,0
,"Boone County, AR",05009,Suppressed,797986,Suppressed,05009,5,6.265774086262165e-06,0
,"Bradley County, AR",05011,Suppressed,255000,Suppressed,05011,5,1.9607843137254903e-05,1
,"Carroll County, AR",05015,Suppressed,593881,Suppressed,05015,5,8.419195091272495e-06,1
,"Clark County, AR",05019,Suppressed,503232,Suppressed,05019,5,9.935775149434058e-06,1
,"Clay County, AR",05021,Suppressed,352571,Suppressed,05021,5,1.4181540739312082e-05,1
,"Cleburne County, AR",05023,Suppressed,553499,Suppressed,05023,5,9.033439988148127e-06,1
,"Cleveland County, AR",05025,Suppressed,187592,Suppressed,05025,5,2.6653588639174378e-05,1
,"Columbia County, AR",05027,Suppressed,540046,Suppressed,05027,5,9.25847057472882e-06,1
,"Conway County, AR",05029,Suppressed,458833,Suppressed,05029,5,1.0897210967824894e-05,1
,"Craighead County, AR",05031,Suppressed,2106094,Suppressed,05031,5,2.374063076007054e-06,0
,"Crawford County, AR",05033,Suppressed,1313778,Suppressed,05033,5,3.805818030139034e-06,0
,"Crittenden County, AR",05035,Suppressed,1097728,Suppressed,05035,5,4.5548624067164175e-06,0
,"Cross County, AR",05037,Suppressed,395562,Suppressed,05037,5,1.2640243501650815e-05,1
,"Dallas County, AR",05039,Suppressed,179018,Suppressed,05039,5,2.7930152275190204e-05,1
,"Desha County, AR",05041,Suppressed,289347,Suppressed,05041,5,1.7280289755898627e-05,1
,"Drew County, AR",05043,Suppressed,408068,Suppressed,05043,5,1.22528598174814e-05,1
,"Faulkner County, AR",05045,Suppressed,2400765,Suppressed,05045,5,2.082669482435807e-06,0
,"Franklin County, AR",05047,Suppressed,394635,Suppressed,05047,5,1.2669935510028254e-05,1
,"Fulton County, AR",05049,Suppressed,266494,Suppressed,05049,5,1.876214849114802e-05,1
,"Garland County, AR",05051,Suppressed,2084063,Suppressed,05051,5,2.3991597183002626e-06,0
,"Grant County, AR",05053,Suppressed,386657,Suppressed,05053,5,1.2931357766702789e-05,1
,"Greene County, AR",05055,Suppressed,916878,Suppressed,05055,5,5.453288223733147e-06,0
,"Hempstead County, AR",05057,Suppressed,496508,Suppressed,05057,5,1.0070331193052277e-05,1
,"Hot Spring County, AR",05059,Suppressed,713569,Suppressed,05059,5,7.007030854759666e-06,0
,"Howard County, AR",05061,Suppressed,302367,Suppressed,05061,5,1.6536196079598632e-05,1
,"Independence County, AR",05063,Suppressed,794573,Suppressed,05063,5,6.292688022371764e-06,0
,"Jackson County, AR",05067,Suppressed,390033,Suppressed,05067,5,1.2819428099673617e-05,1
,"Jefferson County, AR",05069,Suppressed,1678529,Suppressed,05069,5,2.978798698145817e-06,0
,"Johnson County, AR",05071,Suppressed,551368,Suppressed,05071,5,9.06835362226317e-06,1
,"Lafayette County, AR",05073,Suppressed,167017,Suppressed,05073,5,2.9937072274079884e-05,1
,"Lawrence County, AR",05075,Suppressed,377814,Suppressed,05075,5,1.3234025208171217e-05,1
,"Lee County, AR",05077,Suppressed,232888,Suppressed,05077,5,2.1469547593693104e-05,1
,"Lincoln County, AR",05079,Suppressed,309259,Suppressed,05079,5,1.6167678224400906e-05,1
,"Little River County, AR",05081,Suppressed,284567,Suppressed,05081,5,1.757055456184308e-05,1
,"Logan County, AR",05083,Suppressed,488680,Suppressed,05083,5,1.0231644429892772e-05,1
,"Lonoke County, AR",05085,Suppressed,1437086,Suppressed,05085,5,3.479262897279634e-06,0
,"Madison County, AR",05087,Suppressed,338232,Suppressed,05087,5,1.478275266680858e-05,1
,"Miller County, AR",05091,Suppressed,938791,Suppressed,05091,5,5.32599907753696e-06,0
,"Mississippi County, AR",05093,Suppressed,1014140,Suppressed,05093,5,4.930285759362613e-06,0
,"Monroe County, AR",05095,Suppressed,183845,Suppressed,05095,5,2.7196823411025594e-05,1
,"Montgomery County, AR",05097,Suppressed,202866,Suppressed,05097,5,2.4646811195567516e-05,1
,"Nevada County, AR",05099,Suppressed,199242,Suppressed,05099,5,2.5095110468676283e-05,1
,"Newton County, AR",05101,Suppressed,180855,Suppressed,05101,5,2.76464571065218e-05,1
,"Ouachita County, AR",05103,Suppressed,570097,Suppressed,05103,5,8.770437311545228e-06,1
,"Perry County, AR",05105,Suppressed,227343,Suppressed,05105,5,2.199319970265194e-05,1
,"Phillips County, AR",05107,Suppressed,481678,Suppressed,05107,5,1.038037859316805e-05,1
,"Poinsett County, AR",05111,Suppressed,540869,Suppressed,05111,5,9.244382650882192e-06,1
,"Polk County, AR",05113,Suppressed,445570,Suppressed,05113,5,1.1221581345243171e-05,1
,"Pope County, AR",05115,Suppressed,1325363,Suppressed,05115,5,3.772551368945715e-06,0
,"Prairie County, AR",05117,Suppressed,192361,Suppressed,05117,5,2.5992794797282192e-05,1
,"Randolph County, AR",05121,Suppressed,395022,Suppressed,05121,5,1.265752287214383e-05,1
,"St. Francis County, AR",05123,Suppressed,608902,Suppressed,05123,5,8.211502015102594e-06,1
,"Saline County, AR",05125,Suppressed,2297833,Suppressed,05125,5,2.1759631792214665e-06,0
,"Scott County, AR",05127,Suppressed,238644,Suppressed,05127,5,2.0951710497645028e-05,1
,"Searcy County, AR",05129,Suppressed,177555,Suppressed,05129,5,2.816028836135282e-05,1
,"Sevier County, AR",05133,Suppressed,365470,Suppressed,05133,5,1.36810134894793e-05,1
,"Sharp County, AR",05135,Suppressed,379913,Suppressed,05135,5,1.3160907892070027e-05,1
,"Union County, AR",05139,Suppressed,921868,Suppressed,05139,5,5.42376999743998e-06,0
,"Van Buren County, AR",05141,Suppressed,368694,Suppressed,05141,5,1.356138152505872e-05,1
,"White County, AR",05145,Suppressed,1643633,Suppressed,05145,5,3.042041623647128e-06,0
,"Woodruff County, AR",05147,Suppressed,164001,Suppressed,05147,5,3.048761897793306e-05,1
,"Yell County, AR",05149,Suppressed,473896,Suppressed,05149,5,1.0550838158583317e-05,1
,"Amador County, CA",06005,Suppressed,826858,Suppressed,06005,5,6.046987511761391e-06,0
,"Butte County, CA",06007,Suppressed,4785059,Suppressed,06007,5,1.044919195353704e-06,0
,"Calaveras County, CA",06009,Suppressed,980291,Suppressed,06009,5,5.100526272300776e-06,0
,"Colusa County, CA",06011,Suppressed,457105,Suppressed,06011,5,1.0938405836733354e-05,1
,"Del Norte County, CA",06015,Suppressed,613889,Suppressed,06015,5,8.144794905919475e-06,1
,"El Dorado County, CA",06017,Suppressed,3908926,Suppressed,06017,5,1.27912372861497e-06,0
,"Glenn County, CA",06021,Suppressed,608019,Suppressed,06021,5,8.223427228425428e-06,1
,"Humboldt County, CA",06023,Suppressed,2921490,Suppressed,06023,5,1.711455455948848e-06,0
,"Inyo County, CA",06027,Suppressed,402629,Suppressed,06027,5,1.2418380196160733e-05,1
,"Kings County, CA",06031,Suppressed,3221880,Suppressed,06031,5,1.5518889592411884e-06,0
,"Lake County, CA",06033,Suppressed,1390977,Suppressed,06033,5,3.5945957409791824e-06,0
,"Lassen County, CA",06035,Suppressed,729555,Suppressed,06035,5,6.853492882647641e-06,0
,"Marin County, CA",06041,Suppressed,5552041,Suppressed,06041,5,9.005697184152639e-07,0
,"Mariposa County, CA",06043,Suppressed,389298,Suppressed,06043,5,1.284363135695534e-05,1
,"Mendocino County, CA",06045,Suppressed,1921486,Suppressed,06045,5,2.602152708893013e-06,0
,"Napa County, CA",06055,Suppressed,2961500,Suppressed,06055,5,1.6883336147222692e-06,0
,"Nevada County, CA",06057,Suppressed,2142412,Suppressed,06057,5,2.3338181451560206e-06,0
,"Plumas County, CA",06063,Suppressed,437398,Suppressed,06063,5,1.1431236539718974e-05,1
,"San Benito County, CA",06069,Suppressed,1247002,Suppressed,06069,5,4.009616664608397e-06,0
,"San Luis Obispo County, CA",06079,Suppressed,5891607,Suppressed,06079,5,8.486648888834574e-07,0
,"Santa Barbara County, CA",06083,Suppressed,9317579,Suppressed,06083,5,5.366200812464267e-07,0
,"Santa Cruz County, CA",06087,Suppressed,5774836,Suppressed,06087,5,8.658254537444873e-07,0
,"Siskiyou County, CA",06093,Suppressed,970946,Suppressed,06093,5,5.149616971489661e-06,0
,"Sonoma County, CA",06097,Suppressed,10579646,Suppressed,06097,5,4.726056051402854e-07,0
,"Sutter County, CA",06101,Suppressed,2007457,Suppressed,06101,5,2.490713375180639e-06,0
,"Tehama County, CA",06103,Suppressed,1354193,Suppressed,06103,5,3.69223589252049e-06,0
,"Tuolumne County, CA",06109,Suppressed,1211872,Suppressed,06109,5,4.125848274405218e-06,0
,"Yolo County, CA",06113,Suppressed,4352726,Suppressed,06113,5,1.1487054319522984e-06,0
,"Yuba County, CA",06115,Suppressed,1548254,Suppressed,06115,5,3.22944426431322e-06,0
,"Adams County, CO",08001,Suppressed,9666228,Suppressed,08001,5,5.172648524326138e-07,0
,"Arapahoe County, CO",08005,Suppressed,12582826,Suppressed,08005,5,3.973670143734007e-07,0
,"Archuleta County, CO",08007,Suppressed,264332,Suppressed,08007,5,1.8915606131682885e-05,1
,"Baca County, CO",08009,Suppressed,85563,Suppressed,08009,5,5.843647370943048e-05,1
,"Boulder County, CO",08013,Suppressed,6641609,Suppressed,08013,5,7.528296230627247e-07,0
,"Broomfield County, CO",08014,Suppressed,1048261,Suppressed,08014,5,4.769804466635694e-06,0
,"Douglas County, CO",08035,Suppressed,6057943,Suppressed,08035,5,8.253626684833449e-07,0
,"Eagle County, CO",08037,Suppressed,1098222,Suppressed,08037,5,4.552813547716218e-06,0
,"Fremont County, CO",08043,Suppressed,1032804,Suppressed,08043,5,4.8411896158419216e-06,0
,"Garfield County, CO",08045,Suppressed,1182695,Suppressed,08045,5,4.227632652543555e-06,0
,"Huerfano County, CO",08055,Suppressed,154096,Suppressed,08055,5,3.244730557574499e-05,1
,"Jefferson County, CO",08059,Suppressed,11971828,Suppressed,08059,5,4.1764716298964536e-07,0
,"La Plata County, CO",08067,Suppressed,1115560,Suppressed,08067,5,4.482053856359138e-06,0
,"Larimer County, CO",08069,Suppressed,6635679,Suppressed,08069,5,7.535023921440444e-07,0
,"Mesa County, CO",08077,Suppressed,3071684,Suppressed,08077,5,1.6277716067147531e-06,0
,"Moffat County, CO",08081,Suppressed,290902,Suppressed,08081,5,1.718791895552454e-05,1
,"Morgan County, CO",08087,Suppressed,616321,Suppressed,08087,5,8.112655580452395e-06,1
,"Prowers County, CO",08099,Suppressed,283512,Suppressed,08099,5,1.763593780862891e-05,1
,"Pueblo County, CO",08101,Suppressed,3445085,Suppressed,08101,5,1.451343000245277e-06,0
,"Routt County, CO",08107,Suppressed,502621,Suppressed,08107,5,9.947853352725016e-06,1
,"Saguache County, CO",08109,Suppressed,138378,Suppressed,08109,5,3.6132911300929337e-05,1
,"San Miguel County, CO",08113,Suppressed,163579,Suppressed,08113,5,3.0566270731573124e-05,1
,"Washington County, CO",08121,Suppressed,107277,Suppressed,08121,5,4.660831305871715e-05,1
,"Weld County, CO",08123,Suppressed,5537038,Suppressed,08123,5,9.030098763996202e-07,0
,"Fairfield County, CT",09001,Suppressed,20174674,Suppressed,09001,5,2.478354792746589e-07,0
,"Hartford County, CT",09003,Suppressed,19451011,Suppressed,09003,5,2.5705604711240975e-07,0
,"Litchfield County, CT",09005,Suppressed,4085856,Suppressed,09005,5,1.2237337781850364e-06,0
,"Middlesex County, CT",09007,Suppressed,3572683,Suppressed,09007,5,1.3995084366567087e-06,0
,"New Haven County, CT",09009,Suppressed,18714508,Suppressed,09009,5,2.6717239908203837e-07,0
,"New London County, CT",09011,Suppressed,5912579,Suppressed,09011,5,8.456546627114834e-07,0
,"Windham County, CT",09015,Suppressed,2539667,Suppressed,09015,5,1.9687620463627714e-06,0
,"Kent County, DE",10001,Suppressed,3457907,Suppressed,10001,5,1.4459613864687511e-06,0
,"Sussex County, DE",10005,Suppressed,4293999,Suppressed,10005,5,1.164415734610092e-06,0
,"Alachua County, FL",12001,Suppressed,5403085,Suppressed,12001,5,9.253972499044527e-07,0
,"Baker County, FL",12003,Suppressed,574145,Suppressed,12003,5,8.708601485687414e-06,1
,"Bay County, FL",12005,Suppressed,3685868,Suppressed,12005,5,1.3565325725175183e-06,0
,"Charlotte County, FL",12015,Suppressed,3599870,Suppressed,12015,5,1.3889390450210702e-06,0
,"Citrus County, FL",12017,Suppressed,3011753,Suppressed,12017,5,1.6601627025855041e-06,0
,"Clay County, FL",12019,Suppressed,4058790,Suppressed,12019,5,1.2318942344886038e-06,0
,"Columbia County, FL",12023,Suppressed,1437944,Suppressed,12023,5,3.4771868723677696e-06,0
,"Escambia County, FL",12033,Suppressed,6680374,Suppressed,12033,5,7.484610891545892e-07,0
,"Flagler County, FL",12035,Suppressed,1946054,Suppressed,12035,5,2.5693017768263368e-06,0
,"Gadsden County, FL",12039,Suppressed,1005653,Suppressed,12039,5,4.971893883874458e-06,0
,"Gilchrist County, FL",12041,Suppressed,362389,Suppressed,12041,5,1.3797328285350825e-05,1
,"Glades County, FL",12043,Suppressed,277869,Suppressed,12043,5,1.7994090740600788e-05,1
,"Hardee County, FL",12049,Suppressed,598285,Suppressed,12049,5,8.357221056854175e-06,1
,"Hendry County, FL",12051,Suppressed,847922,Suppressed,12051,5,5.896768806564755e-06,0
,"Hernando County, FL",12053,Suppressed,3661115,Suppressed,12053,5,1.3657041638954253e-06,0
,"Highlands County, FL",12055,Suppressed,2140361,Suppressed,12055,5,2.336054525381466e-06,0
,"Holmes County, FL",12059,Suppressed,429094,Suppressed,12059,5,1.165245843568076e-05,1
,"Indian River County, FL",12061,Suppressed,3008524,Suppressed,12061,5,1.661944528280313e-06,0
,"Jackson County, FL",12063,Suppressed,1054985,Suppressed,12063,5,4.739403877780253e-06,0
,"Jefferson County, FL",12065,Suppressed,309750,Suppressed,12065,5,1.6142050040355125e-05,1
,"Leon County, FL",12073,Suppressed,5951232,Suppressed,12073,5,8.401621714629845e-07,0
,"Levy County, FL",12075,Suppressed,858034,Suppressed,12075,5,5.827274909852057e-06,0
,"Madison County, FL",12079,Suppressed,414430,Suppressed,12079,5,1.2064763651280071e-05,1
,"Marion County, FL",12083,Suppressed,7049015,Suppressed,12083,5,7.09318961585413e-07,0
,"Martin County, FL",12085,Suppressed,3215156,Suppressed,12085,5,1.5551344942516009e-06,0
,"Monroe County, FL",12087,Suppressed,1673329,Suppressed,12087,5,2.988055546757392e-06,0
,"Nassau County, FL",12089,Suppressed,1589835,Suppressed,12089,5,3.1449804539464785e-06,0
,"Okaloosa County, FL",12091,Suppressed,4140567,Suppressed,12091,5,1.2075640848221995e-06,0
,"Osceola County, FL",12097,Suppressed,5964345,Suppressed,12097,5,8.38315020341714e-07,0
,"Pasco County, FL",12101,Suppressed,9995661,Suppressed,12101,5,5.002170441754677e-07,0
,"Putnam County, FL",12107,Suppressed,1608335,Suppressed,12107,5,3.108805068595784e-06,0
,"St. Johns County, FL",12109,Suppressed,4193106,Suppressed,12109,5,1.1924334848677805e-06,0
,"St. Lucie County, FL",12111,Suppressed,5867423,Suppressed,12111,5,8.521628660486895e-07,0
,"Santa Rosa County, FL",12113,Suppressed,3332687,Suppressed,12113,5,1.5002909064067523e-06,0
,"Seminole County, FL",12117,Suppressed,9274450,Suppressed,12117,5,5.39115527066295e-07,0
,"Sumter County, FL",12119,Suppressed,2033878,Suppressed,12119,5,2.4583578759394614e-06,0
,"Suwannee County, FL",12121,Suppressed,896042,Suppressed,12121,5,5.580095575877024e-06,0
,"Wakulla County, FL",12129,Suppressed,638107,Suppressed,12129,5,7.835676461784622e-06,0
,"Walton County, FL",12131,Suppressed,1230498,Suppressed,12131,5,4.063395470776872e-06,0
,"Washington County, FL",12133,Suppressed,519800,Suppressed,12133,5,9.619084263178145e-06,1
,"Appling County, GA",13001,Suppressed,397552,Suppressed,13001,5,1.2576971062904979e-05,1
,"Atkinson County, GA",13003,Suppressed,179392,Suppressed,13003,5,2.7871922939707456e-05,1
,"Bacon County, GA",13005,Suppressed,238618,Suppressed,13005,5,2.095399341206447e-05,1
,"Baldwin County, GA",13009,Suppressed,1004375,Suppressed,13009,5,4.978220286247667e-06,0
,"Barrow County, GA",13013,Suppressed,1451913,Suppressed,13013,5,3.443732510143514e-06,0
,"Bartow County, GA",13015,Suppressed,2103483,Suppressed,13015,5,2.3770099401801676e-06,0
,"Ben Hill County, GA",13017,Suppressed,381004,Suppressed,13017,5,1.3123221803445634e-05,1
,"Berrien County, GA",13019,Suppressed,402417,Suppressed,13019,5,1.2424922406359573e-05,1
,"Bibb County, GA",13021,Suppressed,3391213,Suppressed,13021,5,1.4743986886108303e-06,0
,"Bleckley County, GA",13023,Suppressed,275858,Suppressed,13023,5,1.8125267347693378e-05,1
,"Brantley County, GA",13025,Suppressed,382953,Suppressed,13025,5,1.3056432512605986e-05,1
,"Bulloch County, GA",13031,Suppressed,1494649,Suppressed,13031,5,3.3452670158679397e-06,0
,"Burke County, GA",13033,Suppressed,501139,Suppressed,13033,5,9.977271774896785e-06,1
,"Butts County, GA",13035,Suppressed,501694,Suppressed,13035,5,9.96623439786005e-06,1
,"Camden County, GA",13039,Suppressed,1087826,Suppressed,13039,5,4.596323309058618e-06,0
,"Candler County, GA",13043,Suppressed,231433,Suppressed,13043,5,2.1604524851684935e-05,1
,"Carroll County, GA",13045,Suppressed,2360818,Suppressed,13045,5,2.117909978659939e-06,0
,"Chattooga County, GA",13055,Suppressed,559416,Suppressed,13055,5,8.937892373475196e-06,1
,"Cherokee County, GA",13057,Suppressed,4539692,Suppressed,13057,5,1.1013963061811241e-06,0
,"Clarke County, GA",13059,Suppressed,2550146,Suppressed,13059,5,1.9606720556391673e-06,0
,"Clayton County, GA",13063,Suppressed,5797861,Suppressed,13063,5,8.623870078982577e-07,0
,"Coffee County, GA",13069,Suppressed,908804,Suppressed,13069,5,5.501736347991426e-06,0
,"Colquitt County, GA",13071,Suppressed,978828,Suppressed,13071,5,5.1081497464314465e-06,0
,"Columbia County, GA",13073,Suppressed,2711496,Suppressed,13073,5,1.8440005074689398e-06,0
,"Cook County, GA",13075,Suppressed,368581,Suppressed,13075,5,1.3565539189486165e-05,1
,"Coweta County, GA",13077,Suppressed,2683314,Suppressed,13077,5,1.8633674627717814e-06,0
,"Dade County, GA",13083,Suppressed,355639,Suppressed,13083,5,1.4059200481387024e-05,1
,"Dawson County, GA",13085,Suppressed,471344,Suppressed,13085,5,1.060796361044163e-05,1
,"Decatur County, GA",13087,Suppressed,604692,Suppressed,13087,5,8.268672315823593e-06,1
,"Dooly County, GA",13093,Suppressed,296547,Suppressed,13093,5,1.68607337116882e-05,1
,"Dougherty County, GA",13095,Suppressed,2051606,Suppressed,13095,5,2.4371151185948957e-06,0
,"Douglas County, GA",13097,Suppressed,2747859,Suppressed,13097,5,1.8195984582906183e-06,0
,"Echols County, GA",13101,Suppressed,86522,Suppressed,13101,5,5.7788770486119136e-05,1
,"Effingham County, GA",13103,Suppressed,1122074,Suppressed,13103,5,4.45603409400806e-06,0
,"Emanuel County, GA",13107,Suppressed,490187,Suppressed,13107,5,1.0200188907498567e-05,1
,"Evans County, GA",13109,Suppressed,237718,Suppressed,13109,5,2.1033325200447588e-05,1
,"Fannin County, GA",13111,Suppressed,510778,Suppressed,13111,5,9.788988562545764e-06,1
,"Fayette County, GA",13113,Suppressed,2307704,Suppressed,13113,5,2.166655688944509e-06,0
,"Floyd County, GA",13115,Suppressed,2094738,Suppressed,13115,5,2.3869333539564376e-06,0
,"Franklin County, GA",13119,Suppressed,482298,Suppressed,13119,5,1.0367034489050338e-05,1
,"Glynn County, GA",13127,Suppressed,1709916,Suppressed,13127,5,2.924120249181831e-06,0
,"Gordon County, GA",13129,Suppressed,1166781,Suppressed,13129,5,4.285294326870252e-06,0
,"Habersham County, GA",13137,Suppressed,915572,Suppressed,13137,5,5.4610669614186545e-06,0
,"Hall County, GA",13139,Suppressed,3865455,Suppressed,13139,5,1.2935087848649124e-06,0
,"Heard County, GA",13149,Suppressed,253569,Suppressed,13149,5,1.9718498712382033e-05,1
,"Henry County, GA",13151,Suppressed,4162497,Suppressed,13151,5,1.2012020669324206e-06,0
,"Houston County, GA",13153,Suppressed,3008639,Suppressed,13153,5,1.6618810033373895e-06,0
,"Irwin County, GA",13155,Suppressed,210720,Suppressed,13155,5,2.372817008352316e-05,1
,"Jackson County, GA",13157,Suppressed,1266815,Suppressed,13157,5,3.946906217561365e-06,0
,"Jefferson County, GA",13163,Suppressed,363820,Suppressed,13163,5,1.3743059754823814e-05,1
,"Jenkins County, GA",13165,Suppressed,190150,Suppressed,13165,5,2.6295030239284775e-05,1
,"Johnson County, GA",13167,Suppressed,211049,Suppressed,13167,5,2.3691180721064775e-05,1
,"Jones County, GA",13169,Suppressed,603432,Suppressed,13169,5,8.285937769292978e-06,1
,"Laurens County, GA",13175,Suppressed,1036524,Suppressed,13175,5,4.823814981611617e-06,0
